Row Labels,Sum of GRADS,
30665483031895,544,
30665483032158,871,
30665483032943,660,
30665483034410,517,
30665483038445,513,
30665483038551,74,
30665553033206,238,
30665970000001,1,
30665970111666,56,
30665973030186,36,
30665973031697,408,
30665973031853,254,
30665973032000,256,
30665973034907,77,
30665973035045,571,
30666210000000,1,
30666210000001,1,
30666210118174,1,
30666213030046,568,
30666213031952,472,
30666213035409,393,
30666213035748,111,
30666213038098,578,
30666470119404,393,
30666473030053,377,
30666473030483,39,
30666473031929,457,
30666473031945,142,
30666473038023,627,
30666476119556,14,
30666700106567,83,
30666700108365,534,
30666700114736,590,
30666703030475,209,
30666703030491,360,
30666703030608,78,
30666703030723,359,
30666703034998,154,
30666703035821,321,
30666703036357,539,
30666703036456,435,
30666706115133,1,
30736353030061,571,
30736353030079,105,
30736353030244,374,
30736353030392,665,
30736353030509,31,
30736353034956,576,
30736430102871,614,
30736433030590,15,
30736433032109,677,
30736433032919,92,
30736433037553,481,
30736500000001,4,
30736503030129,48,
30736503030152,477,
30736503030285,572,
30736503030467,10,
30736503030657,521,
30736503035102,613,
30739243033917,820,
30768930130765,13,
31103140113399,1,
31103140119214,50,
31103140126904,10,
31103143130101,18,
31103143130259,11,
31668450121418,30,
31668520127902,1,
31668940102293,32,
31668943130135,50,
31668943131687,27,
31668943131851,136,
31668943132453,424,
31668943135704,321,
31669280116459,413,
31669283130119,50,
31669283130176,499,
31669283130184,482,
31669283130309,41,
31669283135308,414,
31669283136504,435,
31669443130010,80,
31669443130077,17,
31669443130192,10,
31669443138500,158,
31669510122507,117,
31669513130036,25,
31669513130168,138,
31669513134657,381,
31750850000001,1,
31750850108084,440,
31750850119487,108,
31750850128561,44,
31750853130150,447,
31750853130200,49,
32103220100057,1,
32669693230042,3,
32669693230083,41,
32669693232006,16,
32669693233509,13,
32669693235603,35,
32669693236007,41,
33103300110833,148,
33103300125237,29,
33103300128397,210,
33103300128777,52,
33103300134320,4,
33103303330123,29,
33103303331055,46,
33103306069207,5,
33316253330834,30,
33669770000001,1,
33669770125732,442,
33669770135061,79,
33669773330008,402,
33669773334299,454,
33669773337128,78,
33669853330214,207,
